disease,severity,name,image,link
Contact Dermatitis,Moderate,Candid Cream,https://cdn01.pharmeasy.in/dam/products_otc/I11276/candid-clotrimazole-cream-tube-50-gm-1-1738230786.jpg?dim=700x0&dpr=1&q=100,https://pharmeasy.in/health-care/products/candid-cream-50gm-190532
Contact Dermatitis,Moderate,Clocip Cream,https://cdn01.pharmeasy.in/dam/products/043785/clocip-tube-of-15gm-cream-3-1641535574.jpg?dim=700x0&dpr=1&q=100,https://pharmeasy.in/health-care/products/clocip-tube-of-15gm-cream-41232?utm_source=google&utm_medium=cpc&utm_campaign=Performance_Max_All_Products_ROAS_16072024&gad_source=1&gad_campaignid=21466163415&gbraid=0AAAAAB9teDroJOQqbuf0YjsVFTL-zymEf&gclid=Cj0KCQiAqeDMBhDcARIsAJEbU9S7zkldybh064r2Ig30BpEGY90eX9Rmpz075hfAUnoh4BSiO8zdw30aAsLWEALw_wcB
Contact Dermatitis,Moderate,Quadriderm RF Cream,"https://images.apollo247.in/pub/media/catalog/product/Q/U/QUA0013_1_1.jpg?tr=w-264,q-80,f-webp,dpr-false,c-at_max",https://www.apollopharmacy.in/medicine/quadriderm-rf-ointment-10gm?utm_source=gmc&utm_source=google&utm_medium=pmax&campaignid=22434256725&adgroupid=&keyword=&device=c&adtype=pla&product_id=QUA0013&utm_campaign=Pmax_Pharma_PLProducts_Topcities_TCPA_1404&utm_content=[adgroup]&gad_source=1&gad_campaignid=22440708134&gbraid=0AAAAACXO180kjVvDlks_5zjxeRwSzvGVH&gclid=Cj0KCQiAqeDMBhDcARIsAJEbU9Tb8f3mkQukWcMqtJQPrCV1MfIX_g0dWOw63Whnuqa1rPbgkFLsExoaAqQpEALw_wcB
Contact Dermatitis,Moderate,Atarax Lotion,"https://images.apollo247.in/pub/media/catalog/product/a/t/ata0046.jpg?tr=w-264,q-80,f-webp,dpr-false,c-at_max",https://www.apollopharmacy.in/otc/atarax-anti-itch-lotion-100ml?srsltid=AfmBOopXWHes8esSxa8N-bvJUu28Ktr-r571N9wM6XClVAk0tTE2a7I9
Contact Dermatitis,Moderate,Zole F Cream,"https://images.apollo247.in/pub/media/catalog/product/z/o/zole1.jpg?tr=w-264,q-80,f-webp,dpr-false,c-at_max",https://www.apollopharmacy.in/medicine/zole-f-ointment-15gm?srsltid=AfmBOoocVSWw15TZp7kpUGcmdA8orwT0MUq1jlXm-jZyYOj4oj2soXoD
Contact Dermatitis,Moderate,Flutivate Cream,https://assets.truemeds.in/Images/ProductImage/TM-COOM1-004009/flutivate-cream-20gm_flutivate-cream-20gm--TM-COOM1-004009_1.png?width=320,https://www.truemeds.in/medicine/flutivate-skin-005-cream-20-gm-tm-coom1-004009
Contact Dermatitis,Moderate,Betnovate-N Cream,https://www.practostatic.com/practopedia-images/v3/res-750/betnovaten-20-grm-1-s_ff17cce4-7aeb-4a58-958b-c49925642752.JPG,https://www.practo.com/medicine-info/betnovate-n-cream-57928
Contact Dermatitis,Moderate,Momate Cream,"https://images.apollo247.in/pub/media/catalog/product/m/o/mom0004.jpg?tr=w-264,q-80,f-webp,dpr-false,c-at_max",https://www.apollopharmacy.in/medicine/momate-cream-15gm
Contact Dermatitis,High,Elocon Cream,https://5.imimg.com/data5/SELLER/Default/2025/5/507406917/XC/FP/FC/37869803/elocon-cream-mometasone.png,https://www.indiamart.com/proddetail/elocon-cream-mometasone-22453891148.html?srsltid=AfmBOooo3kDTw6VVDmFjN9R9wATDAkWJIAGu3odsTKQBMupQS5aCHD-Z
Contact Dermatitis,High,Tenovate Cream,https://www.practostatic.com/practopedia-images/v3/res-750/tenovate-ointment-15gm_18e5404f-7d3e-4fee-a274-e159defd5c02.JPG,https://www.practo.com/medicine-info/tenovate-005-ointment-27077
Contact Dermatitis,High,Dermovate Cream,https://cdn01.pharmeasy.in/dam/products/I34898/dermovate-cream-25gm-3-1690547948.jpg?dim=320x320&dpr=1&q=100,https://pharmeasy.in/online-medicine-order/dermovate-cream-25gm-209155
Contact Dermatitis,High,Halovate Ointment,"https://images.apollo247.in/pub/media/catalog/product/H/A/HAL0169_1_1.jpg?tr=w-264,q-80,f-webp,dpr-false,c-at_max",https://www.apollopharmacy.in/medicine/halovate-ointment-30gm?srsltid=AfmBOorsN8JXctgEzqmyQgjd9Jf2rJ4nJIPam2UK5Wttxegxa-AE2Q-g
Contact Dermatitis,High,Tacroz Forte Ointment,"https://images.apollo247.in/pub/media/catalog/product/T/A/TAC0012_1_1.jpg?tr=w-264,q-80,f-webp,dpr-false,c-at_max",https://www.apollopharmacy.in/medicine/tacroz-forte-ointment-10gm?srsltid=AfmBOopYVbPWrXldrs1W3a3uCRuj-qJK9v_ue19cRhoA5_Ncp2qRL8WQ
Contact Dermatitis,High,Fucibet Cream,"https://images.apollo247.in/pub/media/catalog/product/F/U/FUC0011_1_1.jpg?tr=w-264,q-80,f-webp,dpr-false,c-at_max",https://www.apollopharmacy.in/medicine/fucibet-cream-15gm?srsltid=AfmBOooxL56DFw9UBuO_A0-rNjEn3wFq9kVGro2OwS2YJuASzjkNr8K7
Contact Dermatitis,High,Clobetasol Propionate Cream IP,https://kianext.com/wp-content/uploads/2024/02/CLONUM-OINTMENT_500X500.jpg,https://www.indiamart.com/proddetail/clobetasol-propionate-cream-ip-25310451497.html?srsltid=AfmBOoowfmbH0i5a3d9nFxAl4w53GkwGmL0mKu7LXl7Q-pIiF3XQyxFl
Contact Dermatitis,High,Deflazacort 6mg Tablet,https://assets.sayacare.in/api/images/product_image/large_image/502/44/Deflazacort-6-mg-Tablet_1.webp,https://sayacare.in/product/deflazacort-6-mg-6-tablet-502?srsltid=AfmBOopf2_FgorlxsONyFEre429DB5ThgAId1PKV53fx9oBINnpx9vkC
Folliculitis,Low,Savlon Antiseptic Liquid,https://www.bbassets.com/media/uploads/p/l/40091676_2-savlon-antiseptic-disinfectant-liquid.jpg,https://www.bigbasket.com/pd/40091676/savlon-antiseptic-disinfectant-liquid-200-ml/
Folliculitis,Low,Dettol Antiseptic Solution,https://www.dettol.co.in/static/d3e299f673d00e4a127b7ca554ddfbe5/62b1f/dal-550ml.png,https://www.bigbasket.com/pd/253537/dettol-antiseptic-disinfectant-liquid-125-ml/
Folliculitis,Low,Himalaya Neem Face Wash,https://assets.truemeds.in/Images/ProductImage/TM-FACK1-000007/himalaya-purifying-neem-face-wash-50ml_himalaya-purifying-neem-face-wash-50ml--TM-FACK1-000007_1.png?width=320,https://www.truemeds.in/otc/himalaya-purifying-neem-pack-50-gm-tm-fack1-000007
Folliculitis,Low,Minimalist Salicylic Cleanser,https://sfycdn.speedsize.com/56385b25-4e17-4a9a-9bec-c421c18686fb/beminimalist.co/cdn/shop/files/SalicylicCleanserNew.jpg?crop=center&height=1260&v=1756796206&width=840,https://beminimalist.co/products/salicylic-lha-2-cleanser?srsltid=AfmBOooJeVoP4l8sg5K0xIxqaqGFooZSxBuBd_n7oqeJhxz4vowBmTGm
Folliculitis,Low,Cetaphil Oily Skin Cleanser,"https://images.apollo247.in/pub/media/catalog/product/c/e/cet0088_1_1_1.jpg?tr=w-264,q-80,f-webp,dpr-false,c-at_max",https://www.apollopharmacy.in/otc/cetaphil-cleanser-for-oily-skin-125-ml?utm_source=gmc&utm_source=google&utm_medium=pmax&campaignid=22434256725&adgroupid=&keyword=&device=c&adtype=pla&product_id=CET0088&utm_campaign=Pmax_Pharma_PLProducts_Topcities_TCPA_1404&utm_content=[adgroup]&gad_source=1&gad_campaignid=22440708134&gbraid=0AAAAACXO180kjVvDlks_5zjxeRwSzvGVH&gclid=Cj0KCQiAqeDMBhDcARIsAJEbU9R-m_bFTymu78GDxZGMrlmhMzMjlEr-iC2rTcwErSWgZVIY3ZcPImkaAvjhEALw_wcB
Folliculitis,Low,Plum Green Tea Face Wash,"https://images.apollo247.in/pub/media/catalog/product/p/l/plu0096_1.jpg?tr=w-264,q-80,f-webp,dpr-false,c-at_max",https://www.apollopharmacy.in/otc/plum-green-tea-pore-cleansing-face-wash-100ml?utm_source=gmc&utm_source=google&utm_medium=pmax&campaignid=22434256725&adgroupid=&keyword=&device=c&adtype=pla&product_id=PLU0096&utm_campaign=Pmax_Pharma_PLProducts_Topcities_TCPA_1404&utm_content=[adgroup]&gad_source=1&gad_campaignid=22440708134&gbraid=0AAAAACXO180kjVvDlks_5zjxeRwSzvGVH&gclid=Cj0KCQiAqeDMBhDcARIsAJEbU9RJ7hh3SmdSO0l6hulq19vQncu7uydk27i3k9DSSb3W84GoeVBbixwaAq_lEALw_wcB
Folliculitis,Low,Sebamed Cleansing Bar,https://assets.truemeds.in/Images/ProductImage/TM-SOAP1-000465/sebamed-clear-face-bar-100gm_sebamed-clear-face-bar-100gm--TM-SOAP1-000465_1.png?width=320,https://www.truemeds.in/otc/sebamed-clear-face-cleansing-soap-100-gm-tm-soap1-000465
Folliculitis,Low,Bioderma Sebium Gel,https://www.bioderma-india.in/sites/in/files/styles/product_packshot_slider/public/products/%7B38491%7D_%7BBIO_SEBIUM_GEL_MOUSSANT%7D_%7B28664I%7D.png?itok=6BSMHkkW,https://www.flipkart.com/bioderma-sebium-gel-moussant-purifying-cleansing-foaming-tube-face-wash/p/itm5b1828d493d99
Folliculitis,Moderate,Clindac A Gel,"https://images.apollo247.in/pub/media/catalog/product/c/l/cli0480.jpg?tr=w-264,q-80,f-webp,dpr-false,c-at_max",https://www.apollopharmacy.in/medicine/clindac-a-1-w-w-gel-20g?utm_source=gmc&utm_source=google&utm_medium=pmax&campaignid=22434256725&adgroupid=&keyword=&device=c&adtype=pla&product_id=CLI0480&utm_campaign=Pmax_Pharma_PLProducts_Topcities_TCPA_1404&utm_content=[adgroup]&gad_source=1&gad_campaignid=22440708134&gbraid=0AAAAACXO180kjVvDlks_5zjxeRwSzvGVH&gclid=Cj0KCQiAqeDMBhDcARIsAJEbU9SKyO53pG-eEuHA5KKqzlHnIBwd4miqdOhgVxFErh5CtT0ZT3gIJNoaAkSrEALw_wcB
Folliculitis,Moderate,Nadibact Cream,https://images.apollo247.in/pub/media/catalog/product/N/A/NAD0001_1_1.jpg,https://www.apollopharmacy.in/medicine/nadibact-1-ointment-10gm?srsltid=AfmBOorUfqbf0I_haKqlW35K3KFBi0pbM9csKsx-nHUkvLU9dTvEYbqJ
Folliculitis,Moderate,Fucidin Cream,"https://images.apollo247.in/pub/media/catalog/product/F/U/FUC0012_1_1.jpg?tr=w-264,q-80,f-webp,dpr-false,c-at_max",https://www.apollopharmacy.in/medicine/fucidin-cream-15gm?srsltid=AfmBOoqWN6iTWM_ZiX58CClmNZ3oCWRU8gsUEinFyfzgFCB3co0Z0CAU
Folliculitis,Moderate,Supirocin Ointment,"https://images.apollo247.in/pub/media/catalog/product/S/U/SUP0001_1_1.jpg?tr=w-264,q-80,f-webp,dpr-false,c-at_max",https://www.apollopharmacy.in/medicine/supirocin-ointment-5gm?srsltid=AfmBOooxRJxcROu5ockXx41NI-pAW96qewWZYl3mhiBlYTV9TYaq2dij
